Demon; ghashank'o
I; Jahn
Quantum; Krakjim
Rest; Musuya
Scent; Henu
Vector; Tahshi
about; ooyam
around; zus
appreciate; mosone
alliance; Shandi
ancient; tkhuyujo
adult; kon'akji
also; nizhi
active; ruut’iyaji
advisor; quisk'thiu
again; e'jaga
alive; monera
attack; ruuk'ina
all; chkhan
am; ek
as; ma
are; a'ek
and; e
or; ei'm
anyone; e'kah
any; e'kij
anything; ts’uuchahe
anus; koonay
approach; Magachee
arrived; jayatan
artifact; kheluuga
as; ri'-
at; oni'k
away; ga
big; He'jik
back; warut'eya
both; k'ung
be; deuna
because; ghaazhi
bring; khech'imo
bend; opkho
benefit; khaayagha
best; huq
betray; lir'jaga
book; p'asnga
bone; t'ulu
brave; dzima
battled; dzuk'uuchi
blessed-one; Hirajo
blood; luuka
breasts; kie'sh
bring; Kooay
brother; khuut'a
born; br'aq
burn; Ruq
but; q'a
by; ni'a
can; moospa
cat; shi'kah
cause; kroki
certain; saachahe
chair; gluvenk
change; Wolos
continue; q'awarut'o
channel; shhka
chat; t'ikhawa
check; wo'k
child; kayo
call; t’isiizit
calling; t’isiizit’a
counsel; mosone
chocolate; mmna
claim; juukhawa
clan-leader; Kaidon
clan; Kai
come; jaya
ceremony; baashi
cum; klaka
comrade; Endiyoko
loyal; endi'ra
core; j'kha
correct; Kkhagadza
council; juuch'inji
covenant; Chkhan
creature; bekkhajo
dad; juu'noh
dead; hoh'ji
deadly; keo'jaga
death; q'ii
deep; m'bah
deeper; bah'tan
destroy; Krushe
destruction; Krushe'tan
device; me'kh
devices; maikhu
disgusting; blu'jo
do; tskha
does; Aeu
done; qwor
dont; masee
draw; krau
draw; shka
dust; ku'ka
drum; ho'karn
drums; ho'karni
did; qwo'ji
eat; Vochu
enemy; qkhan'ik
education; E'raku
eye; ik'o
egg; naya
energy blade; shenskroa
energy; Om-
embrace; juuch'i
escape; a'sahnte
endless; chkhan
ever; jadoh
evil; uutu
expand; zaya
expanded; zaazaya
explode; krakooma
faith; qu'sim
faithful; qu'sima
fang; amnsir
faster; ooyama
father; nejo
fertilized egg; nenaya
fierce; ragra
finance; fijung
finally; Tkhahant’u
find/discover; Regatito/Regatit
fire; ruq'a
fix; cangkwa
found; maarotan
follow; umas
followed; Umasa
follower; Umasi
fight; k'utkho
female; dzana
foods; Vochua
food; Vochui
for; ghaazhi
force; wu'nah
gift; waaka
go; warut'o
god; aamu
going; kiy
guy; boja'q
girl; bojo'q
great; oq'o
glory; oq'otu
good; Kiyee
give; Jag'im
guardian; Leevrukah
guess; gaikhawa
honor; ga'qi
help; g'ahk
hair; skragz
hand; heiro
hat; mwan'aq
hate; garata
hated; garat'i
hatred; garat'i
have; khebit'a
he; noh
helmet; mwak
her; mu
holiness; qkhaat'u
holy; qkhado
heresy; hlirghu
heretic; t'iiwajo
hear; ghaina
heretics; t'iiwajo
hey; Re
hi; Re
him; mu'i
here; ts'aheya
human; domo incanon
hurt; kort'ka
hurts; kort'ka
idiot; jrashta
if; ghaazhi
in; ko
inside; me
incorrect; kkhagadzeya
is; kata
impossible; ts'uutsughaleya
its; tkhajo
it; tkha
joking; kur'di
journey; Ch'awaruutu
justice; bak'ontu
keep; sahwo
key; oq'
kindness; dokkhat'u
keystone; oq'ogaka
kill; matkha
killed; matkhaji
know; qkhan
late; tikoxa
leave; waqkhi
leader; don
let; Y'ah
life; Cheenoh
listen; ch'an'ek
light; k'iis
luminary; k'iisho
like; k’unjo
long; fen'ch
loyalty; shaadat'u
looking; ch'anu'isha
make; Rehi
made; Rehi
master; guulo
may; nou
maybe; jaja
me; Jah
meet; oswu
meeting; 'ah
mercy; Q'iitu
monerasha; love
more; fen
mortar; Craku
move; hino
moved; hinoji
much; wolool
mom; juu'don
mommy; juu'donaya
